x,y
0.988,0
0.222,1
0.285,3
0.326,3
0.14,2
0.314,2
0.151,1
0.924,1
0.297,0
0.883,3
0.567,0
0.967,1
0.092,2
0.407,0
0.26,1
0.976,0
0.07,1
0.176,2
0.808,0
0.412,2
0.289,1
0.758,2
0.367,3
0.689,0
0.415,1
0.209,1
0.307,1
0.687,1
0.885,2
0.344,2
0.86,1
0.61,1
0.458,1
0.681,0
0.006,6
0.477,1
0.719,2
0.483,2
0.516,2
0.907,0
0.789,2
0.305,0
0.635,2
0.489,1
0.806,0
0.735,1
0.624,3
0.993,2
0.272,1
0.014,1
0.511,0
0.649,1
0.009,6
0.068,3
0.32,0
0.231,1
0.245,0
0.978,1
0.839,0
0.848,1
0.038,1
0.136,4
0.427,0
0.724,1
0.13,1
0.358,0
0.021,4
0.255,0
0.968,1
0.075,3
0.303,1
0.219,2
0.365,0
0.976,1
0.088,4
0.826,1
0.264,1
0.727,3
0.053,5
0.671,1
0.944,1
0.124,3
0.308,3
0.554,2
0.742,3
0.603,0
0.296,4
0.489,0
0.387,2
0.818,2
0.837,1
0.4,0
0.324,1
0.894,0
0.213,2
0.61,0
0.072,3
0.972,1
0.504,1
0.445,1
0.278,2
0.674,0
0.983,2
0.46,1
0.686,1
0.155,4
0.161,2
0,3
0.958,5
0.571,1
0.21,0
0.632,2
0.116,2
0.474,2
0.326,5
0.444,2
0.092,5
0.159,0
0.699,1
0.374,1
0.369,1
0.026,0
0.382,1
0.326,0
0.329,0
0.871,0
0.368,1
0.226,0
0.305,0
0.816,0
0.647,1
0.215,2
0.475,1
0.07,5
0.618,3
0.798,0
0.577,1
0.19,3
0.156,1
0.76,1
0.109,4
0.719,1
0.586,1
0.426,0
0.057,3
0.866,2
0.716,0
0.518,3
0.29,0
0.399,3
0.716,0
0.766,0
0.663,1
0.593,1
0.292,1
0.283,3
0.394,4
0.149,2
0.805,0
0.628,2
0.02,3
0.191,3
0.917,3
0.958,1
0.849,1
0.177,3
0.722,1
0.339,2
0.781,1
0.865,1
0.258,1
0.869,0
0.606,3
0.328,1
0.419,0
0.291,0
0.46,2
0.997,1
0.558,0
0.027,8
0.675,0
0.607,0
0.057,4
0.78,0
0.738,1
0.169,1
0.947,1
0,2
0.188,0
0.256,3
0.593,1
0.381,0
0.279,3
0.756,2
0.678,1
0.756,0
0.568,1
0.779,2
0.805,1
0.229,0
