Period,Seeded,Season,TE,TW,NC,SC,NWC,T,C,DIFF
1,S,Autumn,1.69,3.73,1.65,1.8,3.33,2.710,2.260,0.450
2,U,Autumn,0.74,0.78,1.09,0.79,1.59,0.760,1.157,-0.397
3,S,Winter,0.81,0.86,2.39,0.36,2.06,0.835,1.603,-0.768
4,U,Winter,1.44,2.01,2.96,1.27,4.05,1.725,2.760,-1.035
5,S,Winter,2.48,4.61,4.16,2.16,6,3.545,4.107,-0.562
6,U,Winter,0.84,2.39,2.76,0.87,4.17,1.615,2.600,-0.985
7,U,Winter,0.37,1.37,1.08,0.85,3.45,0.870,1.793,-0.923
8,S,Winter,0.37,0.84,0.26,0.47,0.9,0.605,0.543,0.062
9,U,Spring,1.33,2.31,2.53,1.08,3.65,1.820,2.420,-0.600
10,S,Spring,3.38,5.56,2.76,3.1,5.06,4.470,3.640,0.830
11,S,Spring,0.69,1.46,1.07,0.64,1.95,1.075,1.220,-0.145
12,U,Spring,1.42,2.79,1.42,1.08,1.22,2.105,1.240,0.865
13,S,Spring,0.44,1.05,0.24,0.44,0.94,0.745,0.540,0.205
14,U,Spring,0.76,1.24,0.7,0.67,0.94,1.000,0.770,0.230
15,S,Summer,1.13,2.28,0.97,1.66,2.21,1.705,1.613,0.092
16,U,Summer,0.88,1.58,1.06,1.13,1.46,1.230,1.217,0.013
45,S,Summer,0.17,0.55,0.13,0.27,0.35,0.360,0.250,0.110
46,U,Summer,0.25,0.77,0.1,0.3,0.34,0.510,0.247,0.263
47,U,Summer,0.78,1.45,0.38,0.58,0.67,1.115,0.543,0.572
48,S,Summer,0.4,0.34,0.45,0.43,0.44,0.370,0.440,-0.070
49,S,Autumn,0.52,0.79,0.42,0.47,0.53,0.655,0.473,0.182
50,U,Autumn,2.73,2.09,2.24,4.02,2.52,2.410,2.927,-0.517
51,U,Autumn,0.9,2.45,0.52,1.32,2.18,1.675,1.340,0.335
52,S,Autumn,1.62,2.54,0.94,1.59,1.73,2.080,1.420,0.660
53,U,Autumn,0.93,2.11,1.19,0.85,2.31,1.520,1.450,0.070
54,S,Autumn,0.63,1.31,0.76,0.71,1.28,0.970,0.917,0.053
55,S,Winter,0.42,1.23,0.13,0.59,0.91,0.825,0.543,0.282
56,U,Winter,0.64,0.43,1.5,0.24,1.15,0.535,0.963,-0.428
57,U,Winter,0.3,0.69,1.03,0.22,1.88,0.495,1.043,-0.548
