business_status,name,latitude,longitude,is_meal_takeaway,rating,user_ratings_total,price_level
OPERATIONAL,Lighthouse Restaurant,41.3672076,-87.425811,False,4.6,3302,3
OPERATIONAL,Subway,41.3769032,-87.45717119999999,True,4,147,1
OPERATIONAL,Great Oaks Banquets & Events,41.3801193,-87.46718589999999,True,4.5,114,1
OPERATIONAL,Dairy Queen Grill & Chill,41.3769374,-87.4563861,False,4.3,341,1
OPERATIONAL,Sandbar Grill,41.37904350000001,-87.4229986,False,4.4,1084,2
OPERATIONAL,Dunkin',41.3771168,-87.4707569,True,4,283,1
OPERATIONAL,Frank's Backyard BBQ,41.3808996,-87.47037569999999,False,4.8,441,2
OPERATIONAL,Aurelio's Pizza,41.38341409999999,-87.4694822,False,4.4,678,2
OPERATIONAL,Papa's Mini Donuts & Cheese Curds,41.3402436,-87.4216283,False,4.9,49,
OPERATIONAL,Cedar Lake Kitchen,41.3768096,-87.4599077,False,4.4,659,1
OPERATIONAL,Harry O's,41.3781746,-87.47064499999999,False,4.2,1222,2
OPERATIONAL,Hunley's Bar & Grill,41.380601,-87.440353,False,4.5,251,1
OPERATIONAL,McDonald's,41.3765308,-87.47063399999999,False,3.4,780,1
OPERATIONAL,Pizza Palace,41.3841899,-87.428144,False,4.3,122,
OPERATIONAL,Bugaboo Bar And Grill,41.3537153,-87.4309675,False,4.2,855,2
OPERATIONAL,La Dilla Mexican Grill,41.3753776,-87.452835,False,4.2,222,2
OPERATIONAL,China House,41.377102,-87.450119,False,4,236,1
OPERATIONAL,El Jimador #3,41.3766073,-87.4514543,False,4.4,169,
OPERATIONAL,Pop's Italian Beef and Sausage,41.3758208,-87.45317879999999,False,4.2,275,1
OPERATIONAL,Herbalife focus Nutrition,41.3758395,-87.4533445,False,5,11,
OPERATIONAL,Pizza Hut,41.3770599,-87.4520187,True,3.6,167,1
OPERATIONAL,Culver’s,41.37691459999999,-87.4536241,False,3.4,53,1
OPERATIONAL,Burger King,41.3769032,-87.45493429999999,False,3,446,1
OPERATIONAL,Tastee Top Grill,41.3551154,-87.4217749,False,4.5,544,1
OPERATIONAL,Rosati's Pizza,41.3798281,-87.4227271,False,4.1,365,2
OPERATIONAL,Domino's Pizza,41.384735,-87.43057890000001,True,,,
OPERATIONAL,Taco Bell,41.376371,-87.469387,True,4,6,
OPERATIONAL,Froggie Latin Kitchen,41.3791955,-87.4704698,False,4.7,81,
OPERATIONAL,El Salto Mexican Restaurant,41.38207999999999,-87.4693298,False,4,63,2
OPERATIONAL,Corky's Dogg House,41.39208560000001,-87.4697214,False,4.7,924,1
