business_status,name,latitude,longitude,is_meal_takeaway,rating,user_ratings_total,price_level
OPERATIONAL,Subway,41.41222889999999,-87.334408,True,4,128,1
OPERATIONAL,Subway,41.44103309999999,-87.3628138,True,4.1,160,1
OPERATIONAL,Crown Brewing,41.4158226,-87.36357629999999,False,4.4,263,1
OPERATIONAL,White Hawk Country Club,41.4367865,-87.3824388,False,4.6,344,
OPERATIONAL,China Garden,41.4228299,-87.33297390000001,False,3.8,132,1
OPERATIONAL,Pizza Hut,41.4253964,-87.3647082,True,3.7,274,1
OPERATIONAL,Papa Johns Pizza,41.42141520000001,-87.3650747,False,3.2,146,1
OPERATIONAL,Dairy Queen Grill & Chill,41.43429209999999,-87.3640624,False,4,530,1
OPERATIONAL,Fahrenheit Two Twelve,41.4233544,-87.3329495,False,4.1,1068,2
OPERATIONAL,Uncle Chen's Hot Wok,41.4410851,-87.3628861,False,4.3,364,1
OPERATIONAL,Tavern On Main,41.416967,-87.364187,False,4.5,979,2
OPERATIONAL,Pho Fusion + Jasmine Tea,41.4284565,-87.3650194,False,4.1,359,1
OPERATIONAL,Key Nutrition Crown Point,41.3997344,-87.368529,False,4.3,29,
OPERATIONAL,Pop’s Italian Beef & Sausage,41.43593449999999,-87.3639027,False,4.1,816,1
OPERATIONAL,Nicky's Gyros,41.436642,-87.36421589999999,False,4.3,232,
OPERATIONAL,Three Monkeys Pub,41.4143879,-87.3361218,False,4.4,686,2
OPERATIONAL,Dunkin',41.41887800000001,-87.33599079999999,True,4.1,623,1
OPERATIONAL,Rosati's,41.42196089999999,-87.3347124,False,4.3,637,2
OPERATIONAL,River Rock Restaurant at White Hawk Country Club,41.4367405,-87.382443,False,4.2,32,
OPERATIONAL,Culver’s,41.4279954,-87.3372887,False,4.3,1659,1
OPERATIONAL,Jimmy John's,41.42262169999999,-87.33295919999999,True,3.6,177,1
OPERATIONAL,Family Express,41.3958604,-87.3285277,False,4.1,61,
OPERATIONAL,Buffalo Wild Wings,41.4288444,-87.33721919999999,True,4.2,1521,2
OPERATIONAL,Beggars Pizza,41.4285126,-87.3380737,False,4.1,931,2
CLOSED_TEMPORARILY,Papa's Deli,41.4167038,-87.3653942,False,4.5,73,1
OPERATIONAL,Lucrezia Italian Ristorante,41.41509479999999,-87.3639673,False,4.6,942,2
OPERATIONAL,Aurelio's Pizza,41.44080760000001,-87.3638138,False,4.2,523,2
OPERATIONAL,Meraki Hospitality Group,41.4176875,-87.3640515,False,,,
OPERATIONAL,Gelsosomo's Pizzeria,41.4122362,-87.3344176,False,4.5,1451,2
OPERATIONAL,Pappas Restaurant & Bar,41.4294157,-87.3625497,False,4.2,1014,1
OPERATIONAL,Starbucks,41.4267316,-87.363782,False,4.2,532,2
OPERATIONAL,Domino's Pizza,41.43563899999999,-87.3638532,True,4.2,290,1
OPERATIONAL,Carriage Court Pizza,41.4158333,-87.3635,False,4.3,518,2
OPERATIONAL,Joe's Pizza,41.42370319999999,-87.36119719999999,False,4,8,2
OPERATIONAL,Prime Steakhouse,41.4167056,-87.3649643,False,4.3,648,3
OPERATIONAL,Station 21 American Grill,41.4205428,-87.3648364,False,4.3,1464,2
OPERATIONAL,Buddy & Pal's Place,41.4280546,-87.3454409,False,4.3,608,2
OPERATIONAL,Wendy's,41.42455659999999,-87.3640336,False,3.7,823,1
OPERATIONAL,McDonald's,41.4193928,-87.36481549999999,False,3.6,1256,1
OPERATIONAL,Schoop's Hamburgers,41.4292251,-87.364042,False,4.5,893,
CLOSED_TEMPORARILY,TIM'S PIZZA,41.42703049999999,-87.3437058,False,4.2,48,2
OPERATIONAL,Taco Bell,41.4362096,-87.3651668,True,3.7,691,1
OPERATIONAL,Back Court Bar & Grill,41.39948059999999,-87.36835099999999,False,4.5,171,1
OPERATIONAL,Dunkin',41.4296121,-87.3640149,True,4.1,349,1
OPERATIONAL,Elis Golden Apple Restaurant and Pancake House,41.4233828,-87.3340203,False,4.2,897,2
OPERATIONAL,Jax's Crown Town Grill,41.418359,-87.36465899999999,False,4.4,320,1
OPERATIONAL,Zel's Roast Beef,41.4260055,-87.36478319999999,True,3.8,317,2
OPERATIONAL,KFC,41.4287687,-87.36394279999999,False,3.7,387,1
OPERATIONAL,Cold Stone Creamery,41.4143736,-87.3358501,False,4.4,282,2
OPERATIONAL,Twelve Islands,41.41743290000001,-87.3640322,False,4.5,551,1
OPERATIONAL,Main Street Cafe,41.41843019999999,-87.3645509,False,4.4,620,1
OPERATIONAL,Burger King,41.43050859999999,-87.364963,False,3.4,529,1
OPERATIONAL,Lincoln Carryouts,41.43124110000001,-87.36503069999999,True,4.6,792,1
OPERATIONAL,Long John Silver's,41.42598520000001,-87.3641012,True,3.9,440,1
OPERATIONAL,The Alibi Room,41.41783929999999,-87.36585869999999,False,4.4,7,
OPERATIONAL,Arby's,41.4286955,-87.3649432,True,3.9,575,1
OPERATIONAL,Giurovici Dragon,41.4169806,-87.3653135,False,,,
OPERATIONAL,Ricochet Tacos,41.41661000000001,-87.365211,True,4.4,482,
OPERATIONAL,Umi Sushi and Lounge,41.4167036,-87.3649264,False,4.4,331,2
OPERATIONAL,Ramen District,41.417599,-87.36500699999999,True,4.2,174,2
