business_status,name,latitude,longitude,is_meal_takeaway,rating,user_ratings_total,price_level
OPERATIONAL,Atlantis Gentlemen's Club,41.5067528,-87.5720223,False,3.3,153,
OPERATIONAL,Ciao Bella Ristorante,41.4944535,-87.4719414,False,4.2,921,2
OPERATIONAL,White Rhino Bar & Grill,41.49505610000001,-87.5230636,False,4.3,1496,2
OPERATIONAL,Subway,41.492617,-87.5106954,True,3.2,120,1
OPERATIONAL,Teibel's Family Restaurant,41.4901519,-87.4702707,False,4.4,2014,3
OPERATIONAL,Stardust Bowl 3,41.5069172,-87.5201888,True,4.3,808,
OPERATIONAL,Golden Corral Buffet & Grill,41.50593509999999,-87.47244289999999,True,3.9,2223,2
OPERATIONAL,Texas Roadhouse,41.4939528,-87.5099204,False,4.4,4415,2
OPERATIONAL,Cafe Borgia,41.5301789,-87.50959619999999,False,4.5,1792,3
OPERATIONAL,House of Kobe - Schererville,41.4865569,-87.47010949999999,False,4.1,1172,2
OPERATIONAL,Hooters,41.49297989999999,-87.47292929999999,True,4,1816,2
OPERATIONAL,Pizza Hut,41.4902176,-87.47400549999999,True,3.4,371,1
OPERATIONAL,Pepino's Restaurant,41.47860499999999,-87.47251589999999,False,4.5,936,2
OPERATIONAL,Wendy's,41.4921228,-87.5076887,False,3.7,733,1
OPERATIONAL,Five Guys,41.493002,-87.47041399999999,True,4.4,832,2
OPERATIONAL,Ruben's Mexican Grill,41.4710303,-87.51892819999999,False,4.6,571,2
OPERATIONAL,La Cecina Restaurant Familiar #3,41.4949073,-87.5212602,False,4.1,907,2
OPERATIONAL,Circle K,41.4943576,-87.5160738,True,3.7,3,1
OPERATIONAL,Jimmy John's,41.4945049,-87.5071488,True,3.6,72,1
OPERATIONAL,Progressive Dining Group,41.4911035,-87.5045872,False,,,
OPERATIONAL,DOC's Smokehouse Dyer,41.5055122,-87.5097808,False,4.5,1268,2
OPERATIONAL,John's Pizzeria,41.5096983,-87.5182706,False,4.2,180,1
OPERATIONAL,Subway,41.51495929999999,-87.5182854,True,4.2,133,1
OPERATIONAL,Dunkin',41.4722391,-87.5192244,True,4.1,124,1
OPERATIONAL,Pepe's Mexican Restaurant,41.4915303,-87.4877994,False,3.8,480,1
OPERATIONAL,Hometown Gyros,41.4905419,-87.5589621,False,4.1,249,1
OPERATIONAL,Chili's Grill & Bar,41.493108,-87.506,False,3.8,1199,2
OPERATIONAL,Designer Desserts,41.50268579999999,-87.47456199999999,False,4.5,254,2
OPERATIONAL,Beggar's Pizza,41.4713972,-87.51882429999999,False,3.9,552,2
OPERATIONAL,Papa Johns Pizza,41.4948591,-87.4698717,False,3,136,1
OPERATIONAL,Burgerhaus,41.49019240000001,-87.4716491,False,4.2,1650,2
OPERATIONAL,Jimmy John's,41.4902714,-87.4715312,True,3.9,130,1
OPERATIONAL,La Carreta Restaurant & Bar,41.51063599999999,-87.47023,False,4.2,2062,2
OPERATIONAL,Region Ale Tap House & Eatery,41.5016999,-87.47213310000001,False,4.2,903,2
OPERATIONAL,Bakers Square,41.492265,-87.47046300000001,False,4.3,1077,2
OPERATIONAL,Gino's Prime & Surf,41.4921775,-87.4988518,False,4.2,1344,3
OPERATIONAL,Popeyes Louisiana Kitchen,41.4912758,-87.46960419999999,False,2.8,954,1
OPERATIONAL,Culver’s,41.4911943,-87.47505060000002,False,4.4,1494,1
OPERATIONAL,Giordano's,41.48993189999999,-87.46688689999999,True,4.2,2924,2
OPERATIONAL,Lucky China,41.4927439,-87.5009458,False,3.6,94,2
OPERATIONAL,The Scrambled Diner,41.471321,-87.519751,False,4.5,1057,2
OPERATIONAL,Round the Clock Schererville,41.4902198,-87.47361409999999,False,4.1,2412,1
OPERATIONAL,State Line Pizza Dyer,41.4987171,-87.52133309999999,True,4.3,153,2
OPERATIONAL,Sheffield's Restaurant,41.5131539,-87.5182561,False,4.1,382,1
OPERATIONAL,Doreen's Pizzeria,41.492104,-87.51057709999999,True,4.3,293,1
OPERATIONAL,Sanfratellos Pizza,41.4916103,-87.503937,False,4.3,281,2
OPERATIONAL,Buffalo Wild Wings,41.5000985,-87.47188659999999,True,4.1,2015,2
OPERATIONAL,China Buffet,41.493201,-87.47161,False,3.5,1527,2
OPERATIONAL,Aurelio's Pizza of Schererville,41.4914105,-87.4858916,False,4.1,599,2
OPERATIONAL,McDonald's,41.4929497,-87.505049,False,3.6,1121,1
OPERATIONAL,Starbucks,41.4932357,-87.5069869,False,4.3,401,2
OPERATIONAL,Jelly Pancake House,41.49164759999999,-87.5053148,False,4.1,1149,2
OPERATIONAL,Pop's Beef,41.4919124,-87.4956211,False,4.1,1057,1
OPERATIONAL,Penn Station East Coast Subs,41.4932215,-87.471916,True,4.6,377,2
OPERATIONAL,Sharks Fish & Chicken,41.49116610000001,-87.556935,False,4,301,2
OPERATIONAL,Dunkin',41.4918315,-87.5575842,True,3.8,223,1
OPERATIONAL,Tacos & Burritos Rancho Grande,41.4923028,-87.5107237,False,4.1,585,1
OPERATIONAL,Hog Haven,41.49086459999999,-87.4921583,False,4.4,300,2
OPERATIONAL,Dairy Queen Grill & Chill,41.4915804,-87.502327,False,4.4,499,1
OPERATIONAL,Popeyes Louisiana Kitchen,41.4884743,-87.57296529999999,False,3,754,1
