business_status,name,latitude,longitude,is_meal_takeaway,rating,user_ratings_total,price_level
OPERATIONAL,Subway,41.622943,-87.4810717,True,4.2,186,1
OPERATIONAL,Little Caesars Pizza,41.6280841,-87.47920889999999,True,3,455,1
OPERATIONAL,El Taco Real,41.626803,-87.5046192,False,4.4,1335,2
OPERATIONAL,McDonald's,41.6387154,-87.4488853,False,3.7,1222,1
OPERATIONAL,Tacos & Burritos Rancho Grande,41.6278174,-87.4794893,False,4,110,
OPERATIONAL,Subway,41.63928359999999,-87.44460360000001,True,3.7,272,1
OPERATIONAL,Saul's Chicago Style Grill,41.637412,-87.4810287,False,4.4,356,
OPERATIONAL,Freddy's Steak House,41.5960053,-87.4618682,False,4.2,811,2
OPERATIONAL,Big Frank's Sausage,41.6102554,-87.4829089,False,4.6,573,1
OPERATIONAL,La Hacienda Azteca,41.6232596,-87.5004752,False,4.3,1834,1
OPERATIONAL,Windy City Pizza Kitchen,41.60082209999999,-87.46183099999999,False,4.3,197,2
OPERATIONAL,McDonald's,41.6292973,-87.5083713,False,3.4,1714,1
OPERATIONAL,Casa Blanca Banquets,41.62986349999999,-87.4812539,False,4.1,367,2
OPERATIONAL,Dunkin',41.6295667,-87.50927519999999,True,3.6,598,1
OPERATIONAL,Zel's Roast Beef,41.6393616,-87.4547272,True,4.1,435,1
OPERATIONAL,El Rancherito,41.6438279,-87.4446567,False,4.4,280,1
OPERATIONAL,Casa Lupita's Restaurant,41.6391569,-87.47788299999999,False,4.6,213,1
OPERATIONAL,Aurelio's Pizza of Hammond,41.63648209999999,-87.5090646,False,4.2,790,2
OPERATIONAL,McDonald's,41.62774949999999,-87.4803597,False,3.5,1085,1
OPERATIONAL,El Michoacano,41.6459615,-87.4471267,False,4.5,705,1
OPERATIONAL,El Gran Taco Mexican Grill,41.6260273,-87.4805499,False,4.1,1839,1
OPERATIONAL,Pizza Mix,41.62449000000001,-87.48108099999999,False,4.2,151,1
OPERATIONAL,Bob's Shrimp,41.62716229999999,-87.5091142,False,4.5,1684,2
OPERATIONAL,White Castle,41.64074400000001,-87.433771,False,3.8,1066,1
OPERATIONAL,Burger King,41.6289725,-87.4791956,False,2.8,837,1
OPERATIONAL,Chuck & Irene's,41.6025768,-87.4617725,False,4.4,260,1
OPERATIONAL,Indiana Restaurant,41.6280686,-87.48110729999999,False,4.3,362,1
OPERATIONAL,Genova Pizza,41.6433586,-87.44512160000001,False,3.6,310,1
OPERATIONAL,Shark's,41.6387796,-87.4548484,False,4.4,482,1
OPERATIONAL,Johnel's Restaurant,41.637616,-87.5081901,False,4.2,1522,2
OPERATIONAL,Millo's Pizzeria,41.6289341,-87.4772708,False,4,216,1
OPERATIONAL,Toni's Pizza,41.6282373,-87.48112300000001,False,3.5,202,1
OPERATIONAL,Dunkin',41.6387241,-87.4501337,True,3.7,296,1
OPERATIONAL,Sharks of East Chicago,41.6252179,-87.48126789999999,False,3.8,476,1
OPERATIONAL,Family pizza and bbq,41.6388239,-87.45170809999999,False,4.5,15,1
CLOSED_TEMPORARILY,China Cook,41.6388889,-87.45166669999999,False,3.1,97,
OPERATIONAL,Deasha’s Xtreme Catering LLC,41.6427888,-87.45050239999999,False,5,3,
OPERATIONAL,Taco Delight,41.6442783,-87.4547041,False,3.7,180,1
OPERATIONAL,Wendy's,41.6392078,-87.4453017,False,2.9,24,
OPERATIONAL,Raza Bar & Grill,41.640034,-87.4447431,False,4.2,41,
OPERATIONAL,Midwest Eats by Chef Jerek Blevins,41.64119970000001,-87.4447017,False,4.6,32,2
CLOSED_TEMPORARILY,R&R Caribbean Jerk,41.6413644,-87.4446117,False,4.3,233,2
OPERATIONAL,Kiya's kitchen,41.6413893,-87.4444694,False,5,6,1
OPERATIONAL,Nutrition 101,41.6430798,-87.4452049,False,4.8,5,
OPERATIONAL,SubStation,41.6431352,-87.4448204,False,4.5,103,
OPERATIONAL,BROADWAY SHRIMP,41.6460733,-87.44758709999999,False,4.2,300,2
OPERATIONAL,Lumar Taste,41.6441591,-87.44523269999999,False,4.9,28,2
CLOSED_TEMPORARILY,Lilys mexican candy and icecream shop,41.64413049999999,-87.4448388,False,4.6,13,
OPERATIONAL,Taqueria Dos Hermanos,41.6291028,-87.4642464,False,4.7,48,
OPERATIONAL,Hunt Brothers Pizza,41.6433251,-87.43710109999999,False,5,3,1
OPERATIONAL,El Paso Grill,41.63954,-87.4762997,False,4.4,178,2
OPERATIONAL,A Little Taste of soul,41.6237184,-87.4565428,False,,,
OPERATIONAL,Noodle Bar,41.651377,-87.4357776,False,1,1,
OPERATIONAL,Bugatti's Steak and Pasta,41.651377,-87.4357776,False,3.9,17,
OPERATIONAL,Burger Brothers,41.6527221,-87.4354903,False,1.9,11,
OPERATIONAL,Around the Clock,41.6377616,-87.4808632,False,,,
OPERATIONAL,FlakosTacos,41.6356151,-87.48111589999999,False,4.7,62,
OPERATIONAL,Taqueria Mi Jalisco,41.6356151,-87.48111589999999,False,4.2,246,2
OPERATIONAL,Simple Nutrition,41.6355395,-87.481183,False,,,
OPERATIONAL,Taqueria Fiesta del Sol,41.6332072,-87.48067569999999,False,4.6,135,
