business_status,name,latitude,longitude,is_meal_takeaway,rating,user_ratings_total,price_level
OPERATIONAL,Subway,41.55132229999999,-87.4280773,True,4,213,1
OPERATIONAL,Subway,41.53760999999999,-87.4458319,True,4,144,1
OPERATIONAL,Theo's Steaks & Seafood,41.546854,-87.4719207,False,4.3,2377,3
OPERATIONAL,Subway,41.57294880000001,-87.40290619999999,True,3.7,295,1
OPERATIONAL,Jimmy John's,41.5562402,-87.4697226,True,4.3,295,1
OPERATIONAL,Langel's Pizza,41.5558333,-87.4602778,False,4.2,1721,2
OPERATIONAL,Round the Clock Highland,41.5487428,-87.4719684,False,4,4011,1
OPERATIONAL,Starbucks,41.5221688,-87.47072849999999,False,4.1,385,2
OPERATIONAL,Aurelio's Pizza Griffith,41.551549,-87.42656,False,4.3,684,2
OPERATIONAL,Texas Corral,41.5465129,-87.4720157,False,4,1865,2
OPERATIONAL,Pizza Hut,41.55159899999999,-87.4294487,True,3.5,636,1
OPERATIONAL,Subway,41.563655,-87.46137689999999,True,3.9,212,1
OPERATIONAL,Wendy's,41.5371813,-87.46102929999999,False,3.6,875,1
OPERATIONAL,Burger King,41.549327,-87.4151758,False,3,929,1
OPERATIONAL,Squigi's Pizza of Griffith,41.5225314,-87.42799079999999,False,4.3,249,1
OPERATIONAL,Dunkin',41.54566549999999,-87.4718562,True,3.6,414,1
OPERATIONAL,Chinatown Chinese Restaurant,41.5367776,-87.4489784,False,3.8,265,2
OPERATIONAL,Orange Julius,41.550745,-87.42971179999999,False,4.1,16,1
OPERATIONAL,Dairy Queen Grill & Chill,41.5507359,-87.42967929999999,False,4.3,841,1
OPERATIONAL,Twincade,41.523253,-87.4279942,False,4.2,1017,2
OPERATIONAL,New Oberpfalz Brewing,41.5226362,-87.426774,False,4.7,312,
OPERATIONAL,Wildrose Brewing Company,41.5230651,-87.4162022,False,4.6,312,
OPERATIONAL,Oberweis Ice Cream and Dairy Store,41.5226456,-87.4702708,False,4.5,541,2
OPERATIONAL,Sip Coffee House and Artisan Cafe,41.55467,-87.4610338,False,4.6,976,1
OPERATIONAL,Shops on Main,41.5209611,-87.4679112,False,4.4,3548,
OPERATIONAL,Chipotle Mexican Grill,41.5253969,-87.47048559999999,False,3.9,701,1
OPERATIONAL,Taco Bell,41.5290488,-87.4716957,False,3.4,510,1
OPERATIONAL,Wingstop,41.5243174,-87.4704514,False,3.2,457,2
OPERATIONAL,La Carreta Restaurant & Bar,41.51063599999999,-87.47023,False,4.2,2062,2
OPERATIONAL,Little Caesars Pizza,41.522613,-87.47041899999999,True,2.8,367,1
OPERATIONAL,Jersey Mike's Subs,41.52229620000001,-87.4707576,True,4,336,1
OPERATIONAL,Carrabba's Italian Grill,41.52189479999999,-87.4706899,True,4.2,1928,2
OPERATIONAL,Tomato Bar Pizza Bakery,41.5201629,-87.46981579999999,False,4.6,1383,2
OPERATIONAL,Ben's Soft Pretzels,41.5285576,-87.4740643,True,4.4,39,
OPERATIONAL,Subway,41.523392,-87.47291249999999,True,4.1,117,1
OPERATIONAL,Squigi's Pizza of Highland,41.56172890000001,-87.4612003,True,4.3,148,1
OPERATIONAL,Dante's House of Pizza,41.5373191,-87.4837417,False,4.4,507,2
OPERATIONAL,HOUSE OF INDIAS,41.522464,-87.4732698,False,4.2,207,
OPERATIONAL,Panera Bread,41.519162,-87.471941,True,4.1,845,2
OPERATIONAL,JJ Fish & Chicken,41.5720433,-87.4029114,False,3.9,720,1
OPERATIONAL,Taco Bell,41.5729975,-87.40453839999999,True,3.3,320,1
OPERATIONAL,Pizza Hut Express,41.57314050000001,-87.4044318,True,2.7,27,1
OPERATIONAL,Bridges Scoreboard Restaurant,41.5236367,-87.428525,False,4.3,932,2
OPERATIONAL,Jedi's Garden Family Restaurant,41.55197769999999,-87.43179490000001,False,3.9,1852,2
OPERATIONAL,Popeyes Louisiana Kitchen,41.5531772,-87.4318887,False,2.7,1882,1
OPERATIONAL,Miner-Dunn,41.5504402,-87.47167929999999,False,4.6,2385,1
OPERATIONAL,Jalapeños,41.5186772,-87.47194929999999,False,4.1,2511,2
OPERATIONAL,Panda Express,41.526059,-87.470631,False,3.6,1121,1
OPERATIONAL,Capri's Pizza,41.52241170000001,-87.47376799999999,False,4.3,360,2
OPERATIONAL,little buns,41.5367013,-87.4766696,False,,,
OPERATIONAL,Steak 'n Shake,41.5166909,-87.4718922,False,3.9,2965,1
OPERATIONAL,Pepe's Mexican Restaurant - Griffith,41.55112579999999,-87.4254648,False,3.9,1313,1
OPERATIONAL,Sharxs Fish & Chicken,41.5505425,-87.40901559999999,False,4.1,254,1
OPERATIONAL,Red Mango,41.5246937,-87.4705115,False,4.2,215,2
OPERATIONAL,Marco's Pizza,41.5379016,-87.45702779999999,True,4.3,208,1
OPERATIONAL,TGI Fridays,41.5125301,-87.4703784,False,3.4,1867,2
OPERATIONAL,Potbelly,41.52427899999999,-87.4708586,False,4.1,236,1
OPERATIONAL,McDonald's,41.5513782,-87.4345717,False,3.6,1807,1
OPERATIONAL,Steak Burrito,41.5369035,-87.4554725,False,4,168,1
OPERATIONAL,Amici Grill and Pizzeria,41.5516738,-87.43695799999999,False,4.4,555,2
