business_status,name,latitude,longitude,is_meal_takeaway,rating,user_ratings_total,price_level
OPERATIONAL,Subway,41.32672109999999,-87.1997937,True,3.8,116,1
OPERATIONAL,Bronko's,41.3293551,-87.1986721,False,4.5,158,1
OPERATIONAL,Family Express,41.3285156,-87.1995295,False,4,27,
OPERATIONAL,Dairy Queen Grill & Chill,41.32841,-87.2007635,False,4.3,343,1
OPERATIONAL,WANA Pizza - Hebron,41.3280334,-87.20101919999999,False,4.2,66,2
OPERATIONAL,Hebron Lanes,41.32930750000001,-87.1986007,True,4.2,182,
OPERATIONAL,Assaly's House of Garlic,41.3188232,-87.2006008,False,5,4,
OPERATIONAL,Cravin's To Order,41.3285358,-87.1998808,True,,,
OPERATIONAL,Pav's Restaurant,41.33123419999999,-87.20082459999999,False,4.4,586,1
OPERATIONAL,Tres Amigos,41.33232839999999,-87.2020419,False,4.4,251,2
