business_status,name,latitude,longitude,is_meal_takeaway,rating,user_ratings_total,price_level
OPERATIONAL,Subway,41.55132229999999,-87.4280773,True,4,213,1
OPERATIONAL,Subway,41.53760999999999,-87.4458319,True,4,144,1
OPERATIONAL,Theo's Steaks & Seafood,41.546854,-87.4719207,False,4.3,2377,3
OPERATIONAL,Jimmy John's,41.5562402,-87.4697226,True,4.3,295,1
OPERATIONAL,Round the Clock Highland,41.5487428,-87.4719684,False,4,4011,1
OPERATIONAL,Papa Johns Pizza,41.5817967,-87.4813065,False,3.8,376,1
OPERATIONAL,Langel's Pizza,41.5558333,-87.4602778,False,4.2,1721,2
OPERATIONAL,Subway,41.57294880000001,-87.40290619999999,True,3.7,295,1
OPERATIONAL,Texas Corral,41.5465129,-87.4720157,False,4,1865,2
OPERATIONAL,Subway,41.56914769999999,-87.4819157,True,3.4,19,1
OPERATIONAL,Starbucks,41.5221688,-87.47072849999999,False,4.1,385,2
OPERATIONAL,Subway,41.5608319,-87.5083379,True,3.6,200,1
OPERATIONAL,Aurelio's Pizza Griffith,41.551549,-87.42656,False,4.3,684,2
OPERATIONAL,Cracker Barrel Old Country Store,41.571765,-87.4629123,True,4,5184,2
OPERATIONAL,Pizza Hut,41.55159899999999,-87.4294487,True,3.5,636,1
OPERATIONAL,Subway,41.563655,-87.46137689999999,True,3.9,212,1
OPERATIONAL,Dante's House of Pizza,41.5373191,-87.4837417,False,4.4,507,2
OPERATIONAL,Chipotle Mexican Grill,41.5639589,-87.50844,False,3.6,1503,1
OPERATIONAL,Red Lobster,41.54418099999999,-87.50828299999999,False,4.1,3670,2
OPERATIONAL,Pizza Hut,41.5614629,-87.508138,True,3.7,517,1
OPERATIONAL,Wendy's,41.5701454,-87.4625337,False,3.7,1519,1
OPERATIONAL,Dunkin',41.54566549999999,-87.4718562,True,3.6,414,1
OPERATIONAL,Wendy's,41.5371813,-87.46102929999999,False,3.6,875,1
OPERATIONAL,Burger King,41.549327,-87.4151758,False,3,929,1
OPERATIONAL,Freddy's Steak House,41.5960053,-87.4618682,False,4.2,811,2
OPERATIONAL,Chinatown Chinese Restaurant,41.5367776,-87.4489784,False,3.8,265,2
OPERATIONAL,Orange Julius,41.550745,-87.42971179999999,False,4.1,16,1
OPERATIONAL,Dairy Queen Grill & Chill,41.5507359,-87.42967929999999,False,4.3,841,1
OPERATIONAL,Sip Coffee House and Artisan Cafe,41.55467,-87.4610338,False,4.6,976,1
OPERATIONAL,Squigi's Pizza of Highland,41.56172890000001,-87.4612003,True,4.3,148,1
OPERATIONAL,Buffalo Wild Wings,41.57308620000001,-87.4570641,True,4.1,3240,2
OPERATIONAL,The Bistro - Eat. Drink. Connect.®,41.5729807,-87.4647408,False,3.9,18,
OPERATIONAL,Oberweis Ice Cream and Dairy Store,41.5226456,-87.4702708,False,4.5,541,2
OPERATIONAL,Starbucks,41.5708128,-87.4763771,False,4.2,1219,2
OPERATIONAL,Squigi's Pizza of Griffith,41.5225314,-87.42799079999999,False,4.3,249,1
OPERATIONAL,Dunkin',41.5788815,-87.46208659999999,True,4.2,634,1
OPERATIONAL,Taco Bell,41.5290488,-87.4716957,False,3.4,510,1
OPERATIONAL,Ben's Soft Pretzels,41.5285576,-87.4740643,True,4.4,39,
OPERATIONAL,Chipotle Mexican Grill,41.5253969,-87.47048559999999,False,3.9,701,1
OPERATIONAL,Wingstop,41.5243174,-87.4704514,False,3.2,457,2
OPERATIONAL,Little Caesars Pizza,41.522613,-87.47041899999999,True,2.8,367,1
OPERATIONAL,Pizza Hut,41.5800928,-87.4806105,True,3.2,467,1
OPERATIONAL,Subway,41.523392,-87.47291249999999,True,4.1,117,1
OPERATIONAL,Tacos El Güero,41.5878534,-87.45032289999999,False,4.3,517,2
OPERATIONAL,Jersey Mike's Subs,41.52229620000001,-87.4707576,True,4,336,1
OPERATIONAL,Carrabba's Italian Grill,41.52189479999999,-87.4706899,True,4.2,1928,2
OPERATIONAL,Shops on Main,41.5209611,-87.4679112,False,4.4,3548,
OPERATIONAL,Twincade,41.523253,-87.4279942,False,4.2,1017,2
OPERATIONAL,Jimmy John's,41.58879020000001,-87.4619446,True,4,350,1
OPERATIONAL,Tomato Bar Pizza Bakery,41.5201629,-87.46981579999999,False,4.6,1383,2
OPERATIONAL,New Oberpfalz Brewing,41.5226362,-87.426774,False,4.7,312,
OPERATIONAL,HOUSE OF INDIAS,41.522464,-87.4732698,False,4.2,207,
OPERATIONAL,El Salto Restaurant,41.5388618,-87.50871149999999,False,4.3,1578,2
OPERATIONAL,Panera Bread,41.56524890000001,-87.5084826,True,4.1,1165,2
OPERATIONAL,Dairy Queen Grill & Chill,41.5607549,-87.5075834,False,4.2,658,1
OPERATIONAL,Taco Bell,41.5729975,-87.40453839999999,True,3.3,320,1
OPERATIONAL,Pizza Hut Express,41.57314050000001,-87.4044318,True,2.7,27,1
OPERATIONAL,Einstein Bros. Bagels,41.5507423,-87.50626559999999,False,4.1,67,1
OPERATIONAL,Wildrose Brewing Company,41.5230651,-87.4162022,False,4.6,312,
OPERATIONAL,Panera Bread,41.519162,-87.471941,True,4.1,845,2
