business_status,name,latitude,longitude,is_meal_takeaway,rating,user_ratings_total,price_level
OPERATIONAL,Subway,41.5141311,-87.2584025,True,3.9,212,1
OPERATIONAL,New Hong Kong Restaurant,41.553036,-87.2438626,False,4.7,682,1
OPERATIONAL,Papa Johns Pizza,41.5743034,-87.2445321,False,3.6,197,1
OPERATIONAL,Taco Bell,41.5510703,-87.2369014,True,3.8,1016,1
OPERATIONAL,Las Palmitas Grocery & Catering,41.5512443,-87.2710736,False,4.4,698,
OPERATIONAL,Montego Bay Grille,41.531518,-87.254817,False,4.7,479,2
OPERATIONAL,El Capitan,41.53152259999999,-87.2543826,False,4.2,1830,2
OPERATIONAL,Marco's Pizza,41.5333841,-87.2688098,True,4.2,263,1
OPERATIONAL,McDonald's,41.5502812,-87.2420454,False,3.7,1895,1
OPERATIONAL,EL JIMADOR 2,41.5524733,-87.2434478,False,4.4,467,1
OPERATIONAL,Dunkin',41.55111369999999,-87.27162790000001,True,3.9,401,1
OPERATIONAL,San Pedro's Mexican Restaurant,41.55075840000001,-87.2754643,False,4.2,473,1
OPERATIONAL,Pizza Hut,41.5513387,-87.24232409999999,True,4.1,299,1
OPERATIONAL,New China Restaurant,41.5507536,-87.29522089999999,False,4.2,275,1
OPERATIONAL,Paragon Restaurant,41.5503177,-87.2372417,False,4,2111,2
OPERATIONAL,La Michoacana,41.5707824,-87.2792935,False,4.3,226,1
OPERATIONAL,Smokin' E's BBQ,41.57337189999999,-87.2395161,False,4.5,226,
OPERATIONAL,Long John Silver's,41.5747709,-87.2420757,True,3.7,558,1
OPERATIONAL,Gelsosomo's Pizzeria,41.5502707,-87.2205539,False,4.2,867,2
OPERATIONAL,T's Pizza & Family Restaurant,41.5338952,-87.2487196,False,4.5,591,2
OPERATIONAL,Rosati's Pizza,41.51371,-87.2584359,False,3.5,216,2
OPERATIONAL,Tap House 1233 Grill,41.5696548,-87.2681156,False,4.5,520,1
OPERATIONAL,Lincoln Carry Outs,41.52153089999999,-87.2523351,True,4.7,1596,1
OPERATIONAL,El Ranchero,41.55286150000001,-87.2742815,False,4.5,747,1
OPERATIONAL,Burger King,41.5494111,-87.24014369999999,False,2.9,888,1
OPERATIONAL,Cagney's Saloon,41.53214199999999,-87.2551007,False,4,631,1
OPERATIONAL,J & J's Pizza Shack of Hobart,41.540752,-87.27880449999999,False,4.3,669,2
OPERATIONAL,Jimmy John's,41.550132,-87.238633,True,3.9,246,1
OPERATIONAL,Dairy Queen Grill & Chill,41.5292464,-87.2534756,False,4.5,964,1
OPERATIONAL,Dunkin',41.5502256,-87.2392112,True,4.1,369,1
OPERATIONAL,Dunkin',41.57548499999999,-87.2394326,True,4,556,1
OPERATIONAL,End Zone Bar & Grill,41.5316222,-87.2549111,False,4.3,323,
OPERATIONAL,Rice Garden,41.5137912,-87.2584131,False,4.5,336,1
OPERATIONAL,Philly Steak & Lemonade,41.5524614,-87.24345249999999,False,3.9,407,2
OPERATIONAL,White Castle,41.5509692,-87.2412288,False,4,1806,1
OPERATIONAL,Cafe 339,41.5313889,-87.2541667,False,4.7,796,1
OPERATIONAL,Little Caesars Pizza,41.5527371,-87.2432572,True,2.5,488,1
OPERATIONAL,KFC,41.55108219999999,-87.2453214,False,3.3,591,1
OPERATIONAL,Panda,41.5328994,-87.2528167,False,4,156,1
OPERATIONAL,Brickhouse Bar & Grill,41.5322837,-87.2552108,False,4.6,166,
OPERATIONAL,Tavern on the Lake,41.53284,-87.2555151,False,4.1,205,2
OPERATIONAL,Granger’s At the Clocktower,41.5315551,-87.2558746,False,4.5,201,
OPERATIONAL,The Caribbean on Lake George,41.53102270000001,-87.2546471,False,4.9,83,1
OPERATIONAL,Domino's Pizza,41.53923249999999,-87.26900900000001,True,3.6,157,1
OPERATIONAL,George's Gyros Spot 2,41.5506365,-87.2746018,False,4.1,783,1
OPERATIONAL,Litehouse Whole Food Grill Northwest Indiana,41.5141167,-87.25851,False,4.6,122,1
OPERATIONAL,Schoop's Hamburgers of Hobart,41.5136233,-87.25853959999999,False,4.4,546,
OPERATIONAL,Gifted and Favored LLC,41.5132076,-87.2551648,False,,,
OPERATIONAL,Dunkin',41.51312719999999,-87.2584574,True,3.2,49,1
CLOSED_TEMPORARILY,Pho Hoa + Jazen Tea - Hobart,41.5511548,-87.2443794,False,4.1,245,1
OPERATIONAL,Tokyo 8,41.5511738,-87.24435989999999,False,4.4,47,2
OPERATIONAL,Wingstop,41.5501695,-87.23942219999999,False,3.8,222,2
OPERATIONAL,Titanium Rails Nutrition,41.55013779999999,-87.2383882,False,4.6,68,
OPERATIONAL,Yo Mama's,41.5529998,-87.2447808,False,4.5,477,
OPERATIONAL,Shrimps Fish & Chicken,41.5512155,-87.27073700000001,True,4.3,114,2
OPERATIONAL,Raydee Magoo's,41.55125200000001,-87.270915,False,4.3,220,1
CLOSED_TEMPORARILY,Daygo Raspados,41.5512428,-87.27104279999999,True,,,
OPERATIONAL,Arby's,41.551115,-87.2386628,True,4.1,272,1
OPERATIONAL,Fat Guys Fries INC,41.55002020000001,-87.23422479999999,False,4.7,11,
OPERATIONAL,J & J's Pizza Shack,41.5738956,-87.2457324,False,4.3,722,2
