business_status,name,latitude,longitude,is_meal_takeaway,rating,user_ratings_total,price_level
OPERATIONAL,LongHorn Steakhouse,41.604217,-87.172322,True,4.4,2559,2
OPERATIONAL,McDonald's,41.606885,-87.17115,False,3.6,1885,1
OPERATIONAL,Starbucks,41.6068138,-87.17227199999999,False,4.3,944,2
OPERATIONAL,Taco Bell,41.6077996,-87.1721401,True,3.4,785,1
OPERATIONAL,Dairy Queen Grill & Chill,41.6078559,-87.1712914,False,4.1,723,1
OPERATIONAL,Subway,41.60608390000001,-87.1721774,True,4.1,272,1
OPERATIONAL,Denny's,41.5978156,-87.17466830000001,False,3.7,2337,1
OPERATIONAL,Beach Cafe,41.6181918,-87.2367503,False,4.1,596,2
OPERATIONAL,Flamingo Pizza of Miller,41.61787,-87.237276,False,4.4,990,2
CLOSED_TEMPORARILY,Wells Street Beach Inc.,41.6234231,-87.2235399,False,4.5,226,
CLOSED_TEMPORARILY,Depot Hot Dogs,41.59476600000001,-87.2217367,True,4.5,334,1
OPERATIONAL,Shenanigans,41.59812789999999,-87.1790759,False,3.9,519,2
OPERATIONAL,Marina Shores Yacht Club (Open Year Round to the Public),41.61650139999999,-87.1839495,False,4.2,105,
OPERATIONAL,The Big Weiner,41.6255737,-87.2078902,False,3,2,
CLOSED_TEMPORARILY,Smoke On The Water Premium Mexican Barbecue,41.6309281,-87.1787045,False,4.1,9,
OPERATIONAL,Cravin's To Order,41.6081814,-87.1730019,True,5,1,
OPERATIONAL,Quaker Steak & Lube,41.6064531,-87.17300089999999,False,3.8,1992,2
OPERATIONAL,Hooters,41.6034312,-87.17026469999999,True,3.8,1673,2
OPERATIONAL,Camp,41.5965216,-87.2034133,False,,,
OPERATIONAL,Nicky's Gyros,41.59829480000001,-87.16755549999999,False,4,620,
OPERATIONAL,Dunkin',41.5974033,-87.1731059,True,3.9,437,1
OPERATIONAL,Domino's Pizza,41.5973104,-87.1730771,True,3.8,169,1
OPERATIONAL,The Lure,41.5983448,-87.167502,False,3.9,44,
OPERATIONAL,Nostalgia Steak and Seafood Miller Beach,41.6181616,-87.2368362,False,4.6,11,
OPERATIONAL,Mark O's Bar & Grill Portage,41.58265309999999,-87.1826074,False,4,439,2
OPERATIONAL,Raise The Roost,41.586884,-87.21735869999999,False,1.8,10,1
CLOSED_TEMPORARILY,Greedy Reedy’s BBQ,41.5962237,-87.2384676,False,4.2,5,
OPERATIONAL,Gonzo's Yum Yums,41.5786749,-87.20293559999999,False,,,
