business_status,name,latitude,longitude,is_meal_takeaway,rating,user_ratings_total,price_level
OPERATIONAL,Subway,41.5507663,-87.1404024,True,4,240,1
OPERATIONAL,Little Caesars Pizza,41.57519010000001,-87.17084559999999,True,3.8,485,1
OPERATIONAL,Dunkin',41.55104419999999,-87.1613157,True,3.5,480,1
OPERATIONAL,Santini's Pizza And Wings,41.54936269999999,-87.1408198,True,4.5,305,2
OPERATIONAL,McDonald's,41.54974899999999,-87.137073,False,3.5,1177,1
OPERATIONAL,Firehouse Subs Portage,41.550957,-87.16113,False,4.5,461,1
OPERATIONAL,Buffalo Wild Wings,41.55118579999999,-87.1620397,True,3.8,1586,2
OPERATIONAL,La Cabaña,41.5511128,-87.16245049999999,False,4.2,749,2
OPERATIONAL,Chipotle Mexican Grill,41.5511855,-87.1808514,False,3.8,982,1
OPERATIONAL,Five Guys,41.55119080000001,-87.1814034,True,4.4,939,2
OPERATIONAL,Domino's Pizza,41.5511972,-87.18141159999999,True,3.7,325,1
OPERATIONAL,Starbucks,41.551142,-87.181628,False,4.4,624,2
OPERATIONAL,Panera Bread,41.5512079,-87.1820214,True,4.2,671,2
OPERATIONAL,Jade Garden,41.5764646,-87.174381,False,4.3,137,1
OPERATIONAL,Mexico Lindo Mexican Restaurant Bar & Grill,41.551228,-87.185763,False,4.2,1303,2
OPERATIONAL,Applebee's Grill + Bar,41.5499685,-87.1744411,False,4,1544,2
OPERATIONAL,Pizza Hut,41.55002429999999,-87.17637959999999,True,3.7,483,1
OPERATIONAL,Texas Roadhouse,41.55116,-87.17679419999999,False,4.4,2963,2
OPERATIONAL,McDonald's,41.57623829999999,-87.1784563,False,3.5,909,1
OPERATIONAL,KFC,41.5760881,-87.1774983,False,3.1,506,1
OPERATIONAL,Cappo's,41.551153,-87.1571266,False,4.4,1195,2
OPERATIONAL,Culver’s,41.54997059999999,-87.1774658,False,4.4,1503,1
OPERATIONAL,Texas Corral,41.5509221,-87.18713249999999,False,4,1470,2
OPERATIONAL,Taco Bell,41.5500835,-87.1808374,True,3.4,1160,1
OPERATIONAL,Aurelio's Pizza of Portage,41.5512039,-87.1629554,False,4.3,553,2
OPERATIONAL,Bam Pizza Company,41.5767007,-87.1778783,False,4.4,597,2
OPERATIONAL,Great Wall Buffet,41.5511822,-87.1851697,False,3.9,836,1
OPERATIONAL,Fuji Japanese Restaurant,41.55128759999999,-87.18448719999999,False,4.7,499,2
OPERATIONAL,Arby's,41.5543389,-87.1832381,True,3.8,872,1
OPERATIONAL,McDonald's,41.5499651,-87.1799588,False,3.4,1453,1
OPERATIONAL,Rosewood Family Restaurant,41.550716,-87.1374677,False,4,1290,1
OPERATIONAL,Schoop's Hamburgers,41.55614219999999,-87.18231039999999,False,4.4,1275,2
OPERATIONAL,Panda Express,41.55111109999999,-87.1761111,False,3.6,571,1
OPERATIONAL,J & J's Pizza Shack,41.5756832,-87.1728814,False,4.2,547,2
OPERATIONAL,Tate's Place,41.56348759999999,-87.18243819999999,False,4.6,1628,1
OPERATIONAL,Burger King,41.549672,-87.13964399999999,False,3.3,589,1
OPERATIONAL,Sportsman's,41.5508506,-87.1396208,False,4,304,1
OPERATIONAL,Fajita Grill,41.5508689,-87.1407845,False,4.6,209,
OPERATIONAL,Lil Saver Broaster Chicken,41.5506521,-87.1430881,False,4.4,128,
OPERATIONAL,Gyros Bar and Grill,41.5509404,-87.1419765,False,4.7,125,1
OPERATIONAL,Tocayos Express Mexican Food,41.55112190000001,-87.157203,False,4.3,297,1
OPERATIONAL,Power Nutrition,41.5500138,-87.16497009999999,False,4.5,93,
OPERATIONAL,Steak 'n Shake,41.5499043,-87.1738738,False,3.1,855,1
OPERATIONAL,Beijing Chinese Restaurant,41.5511772,-87.174066,False,4.5,87,
CLOSED_TEMPORARILY,Popeyes Louisiana Kitchen,41.551185,-87.17452399999999,False,3.9,211,1
OPERATIONAL,Wendy's,41.54999919999999,-87.1755993,False,3.4,601,1
OPERATIONAL,Charleys Cheesesteaks and Wings,41.54781469999999,-87.17901309999999,False,3.2,6,
CLOSED_TEMPORARILY,Sunset of Portage,41.550985,-87.1884146,False,3.8,194,1
OPERATIONAL,Ben's Soft Pretzels,41.5528409,-87.18098499999999,True,4.1,49,
OPERATIONAL,Wrap City Grill,41.5550394,-87.1812933,False,4.4,76,1
OPERATIONAL,3 Greeks Gyros,41.55388919999999,-87.1831172,True,4,607,1
OPERATIONAL,Cinco de Mayo Mexican Bar & Grill,41.5538024,-87.18360899999999,False,4.1,580,
OPERATIONAL,Portage House of Pancakes,41.5512054,-87.18616569999999,False,4.6,1796,1
OPERATIONAL,Smoothie King,41.55129759999999,-87.18647829999999,False,4,28,2
OPERATIONAL,El Charrito Mexican Grill,41.5754689,-87.17146939999999,False,4.6,98,
OPERATIONAL,Big Time Burgers + Brew,41.5782514,-87.1707516,False,4.4,708,2
OPERATIONAL,Andy's Red Hots,41.5764581,-87.17445839999999,False,3.9,204,1
OPERATIONAL,Another Round Pizza & Beer,41.57828900000001,-87.17159269999999,False,4.6,180,2
OPERATIONAL,Blueberry Hill Pancake House,41.5764617,-87.17741389999999,False,4.4,517,2
