business_status,name,latitude,longitude,is_meal_takeaway,rating,user_ratings_total,price_level
OPERATIONAL,Route 66 Pizza,41.71017030000001,-87.5327147,False,4.5,877,1
OPERATIONAL,Subway,41.6821828,-87.53741099999999,True,3.2,65,1
OPERATIONAL,Keith's Bar & Grill,41.6794359,-87.4997468,False,4.6,321,2
OPERATIONAL,Little Caesars Pizza,41.67591409999999,-87.49587319999999,True,3.5,742,1
OPERATIONAL,Subway,41.6867592,-87.5065686,True,4.1,195,1
OPERATIONAL,McDonald's,41.6808212,-87.5013944,False,2.9,1109,1
OPERATIONAL,Dunkin',41.6988578,-87.5213497,True,3.8,117,1
CLOSED_TEMPORARILY,WhoaZone at Whihala Beach,41.6846721,-87.4923202,True,4.3,322,
OPERATIONAL,Frankie V's Bar & Grill,41.6783999,-87.5082906,False,4.5,255,2
OPERATIONAL,Ben's Soft Pretzels,41.6927053,-87.5197653,True,3.2,19,
OPERATIONAL,IHOP,41.6956335,-87.5178111,False,3.5,2473,1
OPERATIONAL,Popeyes Louisiana Kitchen,41.6959099,-87.5182081,False,2.7,1155,1
OPERATIONAL,Subway,41.7023842,-87.52592899999999,True,4.1,228,1
OPERATIONAL,Dino's Pizza,41.6759274,-87.49042539999999,False,4.5,182,1
OPERATIONAL,Bulldog Brewing Company,41.6795597,-87.4951567,False,4.1,309,
OPERATIONAL,Purple Steer Restaurant,41.68744889999999,-87.5081634,False,4,1294,1
OPERATIONAL,Capri's Pizza Of Whiting,41.6825423,-87.5090716,True,4.3,757,2
OPERATIONAL,Saul's Chicago Style Grill,41.637412,-87.4810287,False,4.4,356,
OPERATIONAL,Jack Binion's Steak,41.69428569999999,-87.50562339999999,False,4.4,442,
OPERATIONAL,Small World Bar and Grill,41.7024973,-87.542711,False,4.5,392,1
OPERATIONAL,Beggars Pizza Whiting,41.6791946,-87.4966074,True,4,831,2
OPERATIONAL,Club 81 Too,41.65562779999999,-87.5371778,False,4.5,271,1
OPERATIONAL,Griller's Restaurant,41.67909880000001,-87.4982266,True,4.2,426,2
OPERATIONAL,Birrieria Ocotlan,41.7025051,-87.52656429999999,False,4.6,1141,2
OPERATIONAL,Winey Beach Cafe,41.6791639,-87.4955356,False,4.7,65,
OPERATIONAL,Sunrise Restaurant,41.6791011,-87.495869,False,4.4,1279,1
OPERATIONAL,McDonald's,41.70240159999999,-87.5249724,False,3.5,1643,1
OPERATIONAL,Arnie's Dog House,41.686158,-87.506351,False,4.3,740,1
OPERATIONAL,Dunkin',41.6854518,-87.5053245,True,3.8,509,1
OPERATIONAL,Burger King,41.7030381,-87.5269867,False,3.7,599,1
OPERATIONAL,San Luis,41.67471690000001,-87.4939498,False,4.3,509,1
OPERATIONAL,Wendy's,41.68125680000001,-87.5379423,False,3.9,823,1
OPERATIONAL,White Castle,41.6795705,-87.4991817,False,4,992,1
OPERATIONAL,Waldo Cooneys Pizza,41.70252649999999,-87.53453499999999,False,3.6,302,2
OPERATIONAL,The Emerald Green at the Lost Marsh Golf Course,41.66296759999999,-87.50501249999999,False,4.4,344,2
OPERATIONAL,Richway Gyros,41.6822481,-87.50915909999999,False,4.5,286,1
OPERATIONAL,BUZZIN BBQ,41.6795506,-87.4945202,False,4.7,113,
OPERATIONAL,Burrito Stop Mex and American Grill,41.67954050000001,-87.4946437,False,4.7,235,
OPERATIONAL,The Taco Dive,41.679253,-87.49324179999999,False,4.1,153,
OPERATIONAL,Dos Sabores,41.6792411,-87.49245450000001,False,4.4,198,
OPERATIONAL,Center Lounge,41.6791667,-87.4972222,False,4.4,372,1
OPERATIONAL,La Palma SÚPER Market,41.6766893,-87.49669039999999,False,4.4,194,1
OPERATIONAL,Burger King,41.6812297,-87.50083359999999,False,2.9,495,1
OPERATIONAL,King Chop Suey,41.6819634,-87.5023758,False,4.4,591,1
OPERATIONAL,Tom Strom's Pizza Setups,41.6790266,-87.50515159999999,True,4.3,6,
OPERATIONAL,Isabella's Pizza,41.6780746,-87.50880640000001,False,4.3,165,
OPERATIONAL,El Pollo Ranchero,41.68190129999999,-87.5090074,False,4,65,2
OPERATIONAL,Chela's Birria Tacos,41.68677750000001,-87.50685229999999,False,4.2,431,1
CLOSED_TEMPORARILY,Mikes Food Equipment Inc,41.6858618,-87.51015439999999,False,5,2,
CLOSED_TEMPORARILY,The Village Square Buffet,41.6940732,-87.5057817,False,3.1,15,
OPERATIONAL,Foo Noodle Bar at Horseshoe Hammond,41.6942552,-87.5055955,False,1.7,3,
OPERATIONAL,Dairy Queen Grill & Chill,41.6954202,-87.51745869999999,False,3.7,298,1
OPERATIONAL,TenderFix by Noah Schnapp,41.6956335,-87.5178111,False,3,1,
OPERATIONAL,Capriotti's Sandwich Shop,41.69550539999999,-87.5189706,False,4.3,300,1
OPERATIONAL,Wingstop,41.6955117,-87.5191986,False,3.5,509,2
OPERATIONAL,Taco Bell,41.6962146,-87.5183766,True,2.9,168,1
OPERATIONAL,Starbucks,41.69658299999999,-87.518542,False,3.9,545,2
OPERATIONAL,Bulls Den,41.6556148,-87.5142887,False,5,2,
OPERATIONAL,KFC,41.7029527,-87.5252814,False,3.7,397,1
OPERATIONAL,Dunkin',41.68256749999999,-87.5398025,True,3.2,68,1
